,Lead_Id,Name,Gender,City,University,Year_Of_Study,Program_Interested,Source,Converted
21,LD22,Lisa Smith,Male,Delhi,Jawaharlal Nehru Unversity,4th,AI,Whatsapp,No
22,LD23,Ronald Martin,Male,Mumbai,Jain University,4th,Machine Learning,Google Form,Yes
23,LD24,Ebony Ramos,Female,Ahmedabad,Delhi Unversity,1st,AI,Instagram,Yes
24,LD25,Anthony Price,Male,Pune,Gujarat Technological University,4th,AI,Google Form,No
25,LD26,Lisa Fernandez,Female,Delhi,Gujarat Technological University,4th,Electric vehicle,Instagram,No
26,LD27,Larry Roberts,Male,Hyderabad,IIT,2nd,Java,Mass-Mailing,Yes
27,LD28,Annette Frank,Female,Indore,Gujarat Technological University,3rd,Data Science,Instagram,No
28,LD29,Justin Bell,Female,Surat,Jain University,2nd,Robotics,Google Form,No
29,LD30,Michael Yates,Female,Pune,Delhi Unversity,3rd,Data Science,College Collaboration,Yes
30,LD31,Stephen Pearson,Female,Ahmedabad,Delhi Unversity,3rd,AI,Whatsapp,Yes
31,LD32,Michael Pacheco,Female,Hyderabad,Gujarat Technological University,2nd,Robotics,Mass-Mailing,No
32,LD33,Shawn Martin,Female,Indore,Jain University,3rd,Java,Google Form,No
33,LD34,David Colon,Female,Indore,Jawaharlal Nehru Unversity,1st,Machine Learning,College Collaboration,Yes
34,LD35,David Duarte,Female,Surat,Gujarat Technological University,3rd,Machine Learning,Whatsapp,No
35,LD36,John Miles,Male,Indore,Jain University,1st,Autocad,College Collaboration,Yes
36,LD37,Robert Norris,Female,Bangalore,Manipal University,2nd,Robotics,Whatsapp,No
37,LD38,Robert Mcdowell Jr.,Female,Mumbai,IIT,2nd,Java,LinkedIn,Yes
38,LD39,Kelly Harrington,Male,Indore,Amity University,3rd,Robotics,LinkedIn,Yes
39,LD40,Tonya Hubbard,Male,Delhi,Delhi Unversity,1st,AI,Instagram,Yes
40,LD41,Charles Ross,Male,Bangalore,Manipal University,4th,Data Science,LinkedIn,Yes
41,LD42,Dave Stephens,Female,Surat,IIT,3rd,Autocad,College Collaboration,No
42,LD43,Jennifer Malone,Male,Delhi,Delhi Unversity,4th,Machine Learning,LinkedIn,Yes
43,LD44,Jeremy Ramos,Male,Bangalore,Delhi Unversity,3rd,Autocad,College Collaboration,No
44,LD45,Sheena Garza,Male,Pune,Mumbai University,4th,Electric vehicle,Whatsapp,Yes
45,LD46,Kurt Howard,Female,Mumbai,Mumbai University,4th,Robotics,LinkedIn,Yes
46,LD47,Kenneth Walker,Female,Pune,Jain University,2nd,Data Science,College Collaboration,Yes
47,LD48,Jacqueline Diaz,Male,Delhi,Manipal University,1st,Electric vehicle,Mass-Mailing,Yes
48,LD49,Amber Morris,Male,Ahmedabad,Mumbai University,1st,Robotics,College Collaboration,Yes
49,LD50,Barbara Price PhD,Female,Ahmedabad,Amity University,2nd,Machine Learning,Mass-Mailing,No
50,LD51,Luke Boone,Male,Surat,Amity University,1st,Java,Instagram,Yes
51,LD52,Jessica Bailey,Male,Mumbai,Gujarat Technological University,1st,Electric vehicle,LinkedIn,No
52,LD53,Patrick Taylor,Male,Ahmedabad,Amity University,1st,Electric vehicle,LinkedIn,No
53,LD54,Bryce Burgess,Male,Bangalore,IIT,3rd,Robotics,LinkedIn,No
54,LD55,Brian Richards,Male,Mumbai,Mumbai University,1st,Machine Learning,Instagram,Yes
55,LD56,Gregory Mitchell,Female,Delhi,IIT,4th,AI,Whatsapp,No
56,LD57,Lindsay Lewis,Male,Pune,Amity University,1st,Java,Mass-Mailing,No
57,LD58,Jerry Decker,Female,Mumbai,IIT,4th,Autocad,LinkedIn,Yes
58,LD59,Paul Jones,Female,Indore,Mumbai University,3rd,Java,Whatsapp,No
59,LD60,Richard Cox,Male,Ahmedabad,Gujarat Technological University,4th,Electric vehicle,College Collaboration,No
60,LD61,Curtis Henderson,Male,Pune,Mumbai University,3rd,Java,Whatsapp,No
61,LD62,James Vang,Male,Surat,Mumbai University,2nd,AI,Google Form,Yes
62,LD63,Henry Flores,Female,Indore,Mumbai University,3rd,Electric vehicle,Google Form,Yes
63,LD64,Travis Hill,Male,Delhi,Gujarat Technological University,1st,Java,Google Form,Yes
64,LD65,Jeremiah Jones,Female,Mumbai,Amity University,2nd,Autocad,LinkedIn,No
65,LD66,Christopher Snyder,Female,Mumbai,Jain University,4th,Robotics,Mass-Mailing,No
66,LD67,Sean Gordon,Female,Pune,Mumbai University,4th,Electric vehicle,Mass-Mailing,Yes
67,LD68,Courtney Williams,Male,Mumbai,Mumbai University,1st,AI,Mass-Mailing,Yes
68,LD69,Jonathan Smith,Male,Surat,Manipal University,3rd,Autocad,Instagram,Yes
69,LD70,Timothy Phillips,Male,Mumbai,Jawaharlal Nehru Unversity,2nd,Robotics,LinkedIn,Yes
70,LD71,Robert Mitchell,Male,Surat,Jawaharlal Nehru Unversity,4th,Java,Mass-Mailing,No
71,LD72,Kelly Simpson,Female,Ahmedabad,Jawaharlal Nehru Unversity,1st,AI,Mass-Mailing,No
72,LD73,Michael Murphy,Male,Pune,Amity University,4th,Electric vehicle,Mass-Mailing,No
73,LD74,Tracy Watson,Male,Bangalore,Jain University,3rd,Java,Mass-Mailing,Yes
74,LD75,Tiffany Thompson,Female,Mumbai,Jawaharlal Nehru Unversity,3rd,Electric vehicle,Google Form,No
75,LD76,Terry Melton,Female,Pune,Amity University,4th,Java,LinkedIn,Yes
76,LD77,Daniel Boyer,Female,Mumbai,Amity University,2nd,Data Science,Instagram,Yes
77,LD78,Cole Jackson,Male,Hyderabad,Jawaharlal Nehru Unversity,1st,Java,College Collaboration,Yes
78,LD79,Jesse Taylor,Female,Bangalore,Mumbai University,4th,Robotics,Mass-Mailing,Yes
79,LD80,William Alvarez,Male,Hyderabad,Jawaharlal Nehru Unversity,4th,Robotics,Google Form,Yes
80,LD81,Edward Cowan,Male,Hyderabad,Gujarat Technological University,4th,Robotics,LinkedIn,Yes
81,LD82,Karen Taylor,Male,Indore,Jain University,3rd,Autocad,Whatsapp,No
82,LD83,Gina Blankenship,Female,Pune,Manipal University,4th,Java,Instagram,No
83,LD84,Kenneth Hammond,Male,Indore,Jain University,1st,Electric vehicle,College Collaboration,Yes
84,LD85,Tina Archer,Female,Ahmedabad,Gujarat Technological University,1st,Electric vehicle,Whatsapp,Yes
85,LD86,Angela Arias,Male,Hyderabad,Gujarat Technological University,3rd,Machine Learning,LinkedIn,Yes
86,LD87,Holly Parker,Female,Ahmedabad,Manipal University,4th,Electric vehicle,Whatsapp,No
87,LD88,Dakota Gonzalez,Male,Surat,Mumbai University,2nd,Robotics,Whatsapp,No
88,LD89,Richard Anderson,Male,Surat,Jain University,1st,Data Science,Whatsapp,No
89,LD90,Kevin Anderson,Female,Ahmedabad,Mumbai University,1st,Data Science,LinkedIn,Yes
90,LD91,Abigail Ford,Female,Hyderabad,Jain University,3rd,Electric vehicle,LinkedIn,No
91,LD92,Anthony Sandoval,Male,Hyderabad,Jawaharlal Nehru Unversity,3rd,Machine Learning,Instagram,No
92,LD93,Katherine Murphy,Female,Hyderabad,IIT,3rd,Electric vehicle,Whatsapp,No
93,LD94,Brandon Johnson,Female,Mumbai,Jain University,2nd,Data Science,Google Form,Yes
94,LD95,Michael Scott MD,Female,Mumbai,Jain University,4th,Electric vehicle,Whatsapp,Yes
95,LD96,Jennifer Robinson,Male,Surat,IIT,4th,Electric vehicle,Whatsapp,No
96,LD97,Haley Gonzales,Female,Pune,Mumbai University,4th,AI,Instagram,Yes
97,LD98,Lindsay Gibbs,Male,Mumbai,IIT,3rd,Electric vehicle,Mass-Mailing,Yes
98,LD99,Lindsay Lee,Male,Indore,Gujarat Technological University,2nd,Data Science,Instagram,No
99,LD100,Katie Nicholson,Female,Bangalore,IIT,2nd,Machine Learning,Google Form,Yes
100,LD101,Matthew Matthews,Male,Mumbai,Amity University,4th,Machine Learning,LinkedIn,Yes
101,LD102,Monica Cochran,Male,Bangalore,Jawaharlal Nehru Unversity,4th,AI,Google Form,No
102,LD103,Tara Haynes,Male,Pune,Jain University,1st,Data Science,Whatsapp,No
103,LD104,Wesley Hill,Female,Pune,Manipal University,4th,Electric vehicle,College Collaboration,No
104,LD105,Eric Drake,Male,Pune,Gujarat Technological University,1st,Robotics,College Collaboration,No
105,LD106,Kristen King,Male,Pune,Amity University,3rd,Autocad,College Collaboration,Yes
106,LD107,Sara Wade,Female,Bangalore,Manipal University,1st,Machine Learning,Google Form,Yes
107,LD108,Raymond Campbell,Male,Ahmedabad,Amity University,4th,Autocad,Instagram,No
108,LD109,Peter Miller,Female,Ahmedabad,Delhi Unversity,2nd,Robotics,Whatsapp,Yes
109,LD110,Robert Palmer,Male,Hyderabad,Amity University,3rd,AI,LinkedIn,No
110,LD111,Gabriel Moore,Male,Hyderabad,Manipal University,2nd,Autocad,College Collaboration,Yes
111,LD112,Jessica Dalton,Male,Hyderabad,Amity University,2nd,Java,College Collaboration,Yes
112,LD113,Justin Neal,Male,Surat,Jain University,4th,Java,Instagram,No
113,LD114,Robert Huynh,Male,Bangalore,Amity University,4th,Robotics,LinkedIn,Yes
114,LD115,Miranda Gates,Female,Hyderabad,Manipal University,3rd,Data Science,Whatsapp,No
115,LD116,Mrs. Deborah Taylor MD,Female,Mumbai,Jawaharlal Nehru Unversity,1st,Robotics,College Collaboration,Yes
116,LD117,Traci Carpenter,Male,Surat,Mumbai University,2nd,Data Science,Mass-Mailing,Yes
117,LD118,Mary Williams,Female,Delhi,Gujarat Technological University,2nd,Robotics,Whatsapp,No
118,LD119,Adam Velasquez,Male,Indore,Delhi Unversity,4th,Electric vehicle,Instagram,No
119,LD120,Cheryl Dalton,Female,Delhi,Manipal University,4th,Data Science,LinkedIn,No
120,LD121,Jason Kennedy,Male,Delhi,Jawaharlal Nehru Unversity,1st,AI,College Collaboration,No
121,LD122,Ms. Alicia Stanton,Male,Pune,Jain University,3rd,Electric vehicle,Whatsapp,No
122,LD123,Taylor Ewing,Male,Bangalore,Mumbai University,2nd,Robotics,LinkedIn,No
123,LD124,Bryan Lopez,Female,Ahmedabad,Gujarat Technological University,4th,AI,Google Form,No
124,LD125,Claire Wilson,Male,Pune,Amity University,2nd,AI,Instagram,Yes
125,LD126,Tammy Henderson,Female,Surat,Jain University,2nd,AI,LinkedIn,No
126,LD127,Scott Park,Female,Indore,Jawaharlal Nehru Unversity,3rd,Robotics,College Collaboration,Yes
127,LD128,Anna Jennings,Female,Mumbai,Mumbai University,1st,Autocad,College Collaboration,Yes
128,LD129,Mark Conley,Male,Surat,Jawaharlal Nehru Unversity,1st,Autocad,Google Form,Yes
129,LD130,Michelle Smith,Male,Pune,Gujarat Technological University,1st,Robotics,College Collaboration,Yes
130,LD131,Elizabeth Miller,Male,Ahmedabad,Amity University,3rd,Java,Mass-Mailing,No
131,LD132,Kristen Wolf,Female,Ahmedabad,IIT,2nd,Robotics,Google Form,No
132,LD133,Aimee Elliott,Male,Pune,Delhi Unversity,2nd,Data Science,Instagram,Yes
133,LD134,Jack Jones,Female,Pune,IIT,4th,Autocad,Instagram,No
134,LD135,Jerry Stephens,Female,Delhi,Amity University,3rd,Data Science,Google Form,No
135,LD136,Mrs. Karen Moore,Female,Hyderabad,Mumbai University,2nd,Machine Learning,LinkedIn,No
136,LD137,Linda Lambert,Male,Surat,Jain University,3rd,Electric vehicle,LinkedIn,No
137,LD138,Kristin Stanley,Female,Bangalore,Mumbai University,2nd,Autocad,College Collaboration,Yes
138,LD139,Erica Sanders,Female,Indore,Amity University,4th,Autocad,LinkedIn,No
139,LD140,Joanna Lopez,Female,Pune,Gujarat Technological University,3rd,Electric vehicle,LinkedIn,Yes
140,LD141,Cody Long,Male,Pune,IIT,4th,Robotics,Whatsapp,Yes
141,LD142,Ashley Gibson,Female,Delhi,Gujarat Technological University,3rd,Autocad,Google Form,Yes
142,LD143,Alicia Ball,Female,Delhi,Gujarat Technological University,4th,Machine Learning,Mass-Mailing,Yes
143,LD144,Andrea Taylor,Male,Indore,Delhi Unversity,1st,Data Science,Whatsapp,Yes
144,LD145,Nicole Ruiz DDS,Male,Delhi,Mumbai University,4th,Machine Learning,College Collaboration,Yes
145,LD146,Stephen Pierce,Female,Indore,Mumbai University,3rd,Java,LinkedIn,Yes
146,LD147,Tamara Cox,Female,Hyderabad,Mumbai University,2nd,AI,Google Form,No
147,LD148,Amy Mcclain,Male,Mumbai,Jawaharlal Nehru Unversity,2nd,Machine Learning,Whatsapp,No
148,LD149,Adam Tyler,Male,Hyderabad,Jain University,2nd,Data Science,Mass-Mailing,Yes
149,LD150,Justin Snyder,Male,Ahmedabad,Manipal University,1st,Robotics,College Collaboration,No
150,LD151,Tristan Berry,Female,Mumbai,Manipal University,4th,Robotics,Whatsapp,No
151,LD152,April Parsons,Female,Hyderabad,Delhi Unversity,4th,Autocad,Mass-Mailing,Yes
152,LD153,Linda Moore,Female,Hyderabad,Jain University,1st,Autocad,College Collaboration,No
153,LD154,Katherine Sanchez,Male,Delhi,Gujarat Technological University,1st,Electric vehicle,Instagram,No
154,LD155,Benjamin Romero,Male,Pune,Mumbai University,2nd,Electric vehicle,Whatsapp,Yes
155,LD156,Susan Sutton,Female,Hyderabad,IIT,4th,Data Science,LinkedIn,No
156,LD157,Dwayne Swanson,Female,Mumbai,Jain University,3rd,Electric vehicle,Mass-Mailing,No
157,LD158,Randall Moore,Female,Indore,Manipal University,1st,Robotics,Instagram,No
158,LD159,Jason Miller,Female,Mumbai,Jawaharlal Nehru Unversity,2nd,Data Science,Instagram,Yes
159,LD160,Jose Cole,Female,Delhi,Gujarat Technological University,3rd,Robotics,College Collaboration,Yes
160,LD161,Daniel Smith,Male,Mumbai,Jawaharlal Nehru Unversity,3rd,AI,Mass-Mailing,No
161,LD162,Wayne Cooper,Female,Pune,Amity University,3rd,Robotics,Whatsapp,Yes
162,LD163,Jessica Rivera,Male,Delhi,Delhi Unversity,4th,Data Science,Instagram,Yes
163,LD164,Brandon Taylor,Male,Mumbai,Mumbai University,1st,Java,Instagram,No
164,LD165,Troy Frederick Jr.,Male,Bangalore,Mumbai University,2nd,Electric vehicle,Instagram,No
165,LD166,Kimberly Tanner,Male,Delhi,Mumbai University,2nd,Autocad,Google Form,No
166,LD167,Miranda Brooks,Male,Indore,Delhi Unversity,4th,Data Science,College Collaboration,Yes
167,LD168,Hunter Bass Jr.,Female,Bangalore,Mumbai University,3rd,Machine Learning,Instagram,Yes
168,LD169,Latoya Meza,Male,Ahmedabad,IIT,4th,AI,Mass-Mailing,Yes
169,LD170,Caitlin Nicholson,Female,Bangalore,Jawaharlal Nehru Unversity,1st,Autocad,Whatsapp,No
170,LD171,Alyssa Thompson,Male,Mumbai,Mumbai University,4th,Autocad,Whatsapp,Yes
171,LD172,Heather Knight,Female,Delhi,Manipal University,1st,Robotics,Instagram,Yes
172,LD173,Thomas Gardner,Female,Bangalore,Manipal University,2nd,Electric vehicle,Mass-Mailing,Yes
173,LD174,Sandra Jones,Male,Ahmedabad,Mumbai University,3rd,Data Science,Whatsapp,No
174,LD175,Alicia Mcdonald,Female,Indore,Gujarat Technological University,4th,Autocad,College Collaboration,Yes
175,LD176,Claudia Henry MD,Female,Delhi,Jain University,4th,AI,College Collaboration,Yes
176,LD177,John Gardner,Male,Mumbai,Mumbai University,3rd,Robotics,LinkedIn,Yes
177,LD178,Allison Parker,Female,Mumbai,Jain University,1st,Robotics,LinkedIn,Yes
178,LD179,Seth Jones,Male,Surat,Delhi Unversity,4th,Electric vehicle,Google Form,No
179,LD180,William Bowers,Female,Indore,Jain University,1st,Electric vehicle,Whatsapp,Yes
180,LD181,Susan Watson,Female,Indore,IIT,2nd,Autocad,College Collaboration,Yes
181,LD182,James Bishop,Female,Delhi,IIT,2nd,AI,Mass-Mailing,Yes
182,LD183,John Barnett,Male,Ahmedabad,Mumbai University,3rd,Autocad,Mass-Mailing,No
183,LD184,Caroline Haas,Male,Delhi,Gujarat Technological University,2nd,Robotics,Whatsapp,Yes
184,LD185,Jeffrey Smith,Male,Indore,IIT,3rd,Electric vehicle,Mass-Mailing,No
185,LD186,Susan Klein,Male,Pune,IIT,4th,AI,College Collaboration,No
186,LD187,Samuel Howard,Male,Ahmedabad,IIT,3rd,Data Science,LinkedIn,Yes
187,LD188,Linda Randolph,Male,Mumbai,Jain University,2nd,Machine Learning,Whatsapp,Yes
188,LD189,Kara Bishop,Male,Bangalore,Mumbai University,1st,Java,College Collaboration,Yes
189,LD190,Julie Weaver,Male,Surat,Delhi Unversity,2nd,Data Science,Whatsapp,Yes
190,LD191,Karen Williamson,Male,Pune,Jawaharlal Nehru Unversity,1st,Electric vehicle,Instagram,No
191,LD192,Patricia Evans,Male,Surat,Jawaharlal Nehru Unversity,2nd,Autocad,LinkedIn,No
192,LD193,Kelly Hartman,Male,Mumbai,Gujarat Technological University,3rd,Robotics,LinkedIn,No
193,LD194,Erin Tyler,Female,Hyderabad,Amity University,1st,Machine Learning,LinkedIn,No
194,LD195,Christine Wall MD,Female,Indore,Gujarat Technological University,2nd,Robotics,Google Form,No
195,LD196,Scott Garcia,Female,Indore,Gujarat Technological University,1st,Robotics,Google Form,No
196,LD197,Stephanie Schroeder,Female,Mumbai,Jawaharlal Nehru Unversity,1st,Autocad,Instagram,Yes
197,LD198,Derrick Garcia,Male,Bangalore,Amity University,3rd,Data Science,Google Form,No
198,LD199,James Young,Male,Bangalore,Manipal University,3rd,Data Science,Google Form,No
199,LD200,Janet Schroeder,Female,Indore,Gujarat Technological University,3rd,Java,Instagram,No
200,LD201,Kelsey Roberts,Female,Surat,Amity University,2nd,Robotics,Whatsapp,No
201,LD202,Terry Duarte,Female,Mumbai,Delhi Unversity,1st,AI,Google Form,Yes
202,LD203,Jose Gonzalez,Male,Mumbai,Amity University,2nd,Java,Google Form,No
203,LD204,Darren Barrett,Male,Surat,Mumbai University,1st,Electric vehicle,Mass-Mailing,Yes
204,LD205,Kelly Thompson,Male,Surat,Gujarat Technological University,2nd,Machine Learning,College Collaboration,Yes
205,LD206,Kimberly Gonzalez MD,Female,Delhi,IIT,4th,AI,LinkedIn,Yes
206,LD207,Alan King,Male,Surat,IIT,1st,Machine Learning,Mass-Mailing,No
207,LD208,Mrs. Alyssa Turner DDS,Female,Bangalore,Gujarat Technological University,1st,Electric vehicle,Instagram,No
208,LD209,Zachary Macias,Female,Mumbai,Delhi Unversity,4th,Machine Learning,Instagram,Yes
209,LD210,Keith Jackson,Female,Hyderabad,Delhi Unversity,3rd,Java,Instagram,Yes
210,LD211,Christina Knapp,Male,Indore,Jain University,2nd,Data Science,Mass-Mailing,No
211,LD212,Mrs. Karen Hernandez,Female,Delhi,Amity University,4th,Electric vehicle,LinkedIn,Yes
212,LD213,Alvin Diaz,Male,Delhi,Manipal University,3rd,Robotics,Instagram,No
213,LD214,Brenda Joseph,Male,Indore,Jawaharlal Nehru Unversity,4th,Electric vehicle,Google Form,No
214,LD215,Katherine Shields,Male,Indore,Jain University,3rd,Electric vehicle,College Collaboration,Yes
215,LD216,Megan Webb,Female,Mumbai,Mumbai University,3rd,Machine Learning,LinkedIn,Yes
216,LD217,Sabrina Moore,Female,Bangalore,Delhi Unversity,4th,Autocad,LinkedIn,Yes
217,LD218,Judy White,Female,Mumbai,Amity University,4th,Java,Instagram,No
218,LD219,Jose Martin,Female,Ahmedabad,Jawaharlal Nehru Unversity,1st,Autocad,College Collaboration,Yes
219,LD220,Angela Jackson,Female,Delhi,Delhi Unversity,4th,Machine Learning,College Collaboration,No
220,LD221,Christopher Owens,Male,Mumbai,IIT,2nd,Data Science,Whatsapp,No
221,LD222,Ann Garcia,Female,Bangalore,Gujarat Technological University,3rd,AI,College Collaboration,Yes
222,LD223,Tammy Hall,Female,Surat,Gujarat Technological University,4th,AI,Mass-Mailing,Yes
223,LD224,Valerie Johnson,Male,Ahmedabad,Gujarat Technological University,3rd,Robotics,Google Form,Yes
224,LD225,John Mills,Male,Pune,Jain University,4th,Autocad,Mass-Mailing,Yes
225,LD226,Debra Davis,Female,Bangalore,Gujarat Technological University,4th,Machine Learning,College Collaboration,Yes
226,LD227,Scott Howard,Male,Mumbai,IIT,3rd,Robotics,LinkedIn,No
227,LD228,Julia Mack,Female,Surat,Delhi Unversity,1st,Java,College Collaboration,Yes
228,LD229,Sarah Benton,Male,Delhi,Gujarat Technological University,1st,Machine Learning,Google Form,Yes
229,LD230,William Gonzales,Male,Mumbai,Delhi Unversity,3rd,Robotics,Google Form,Yes
230,LD231,Paul Castillo,Male,Surat,Jawaharlal Nehru Unversity,3rd,Data Science,College Collaboration,Yes
231,LD232,Nicholas Cooper,Female,Hyderabad,Jawaharlal Nehru Unversity,3rd,Machine Learning,College Collaboration,Yes
232,LD233,Mr. Paul Ross,Male,Delhi,Gujarat Technological University,4th,Electric vehicle,Mass-Mailing,No
233,LD234,Paul Barnett,Male,Mumbai,IIT,3rd,AI,College Collaboration,No
234,LD235,Austin Kelly,Female,Surat,Amity University,1st,Machine Learning,Instagram,No
235,LD236,Anthony Anderson,Male,Hyderabad,Delhi Unversity,4th,Machine Learning,Mass-Mailing,Yes
236,LD237,Karen Santos,Male,Indore,Delhi Unversity,1st,Electric vehicle,Google Form,Yes
237,LD238,Matthew Arnold,Female,Mumbai,Mumbai University,2nd,Electric vehicle,Whatsapp,No
238,LD239,Michelle Torres,Female,Surat,Gujarat Technological University,3rd,Machine Learning,Whatsapp,Yes
239,LD240,Kathryn Johnson,Male,Pune,Gujarat Technological University,3rd,Robotics,Google Form,Yes
240,LD241,Danielle Davenport,Male,Mumbai,Mumbai University,3rd,Electric vehicle,Whatsapp,Yes
241,LD242,William Wilson,Male,Surat,Mumbai University,1st,Machine Learning,LinkedIn,No
242,LD243,Matthew Wu,Female,Bangalore,Jawaharlal Nehru Unversity,3rd,Electric vehicle,Whatsapp,Yes
243,LD244,Alexandra Miller,Male,Ahmedabad,Jain University,2nd,Autocad,Google Form,No
244,LD245,Eddie Casey,Female,Pune,Mumbai University,4th,AI,Google Form,No
245,LD246,Gabriel Green,Female,Indore,Jain University,2nd,Autocad,Instagram,No
246,LD247,Jacqueline Kemp,Female,Delhi,Mumbai University,1st,AI,LinkedIn,No
247,LD248,Mitchell Mclaughlin,Female,Mumbai,Mumbai University,1st,Machine Learning,LinkedIn,Yes
248,LD249,Arthur Wallace,Male,Delhi,Delhi Unversity,4th,Electric vehicle,College Collaboration,No
249,LD250,Alexis Morris,Female,Mumbai,Manipal University,1st,Autocad,Mass-Mailing,Yes
250,LD251,Eric Davis,Male,Surat,Manipal University,1st,Robotics,LinkedIn,Yes
251,LD252,Timothy Bennett,Female,Surat,IIT,3rd,Data Science,Whatsapp,No
252,LD253,Andrew Phillips,Female,Mumbai,Jawaharlal Nehru Unversity,1st,AI,Google Form,Yes
253,LD254,Anthony Wells,Female,Delhi,Mumbai University,4th,Data Science,LinkedIn,No
254,LD255,Max Buchanan,Male,Delhi,Amity University,2nd,Java,College Collaboration,No
255,LD256,Christopher Jones,Male,Ahmedabad,Jain University,1st,Electric vehicle,Whatsapp,No
256,LD257,Jack Gonzalez,Female,Surat,Jawaharlal Nehru Unversity,4th,Machine Learning,Google Form,Yes
257,LD258,Peter King,Female,Delhi,Delhi Unversity,1st,AI,Instagram,No
258,LD259,Darlene Perry,Female,Mumbai,Jain University,3rd,Robotics,College Collaboration,Yes
259,LD260,Robert Pratt,Male,Ahmedabad,IIT,2nd,Autocad,LinkedIn,Yes
260,LD261,Bradley Graham,Male,Delhi,Delhi Unversity,2nd,AI,Whatsapp,No
261,LD262,Rachel Martin,Male,Ahmedabad,Amity University,4th,Autocad,College Collaboration,No
262,LD263,Jack Williams,Male,Surat,IIT,2nd,Robotics,LinkedIn,No
263,LD264,Ashley Hooper,Female,Delhi,Jawaharlal Nehru Unversity,3rd,Autocad,College Collaboration,Yes
264,LD265,Susan Reed,Male,Bangalore,Amity University,4th,Autocad,LinkedIn,Yes
265,LD266,Laura Carr,Male,Surat,Jawaharlal Nehru Unversity,2nd,Autocad,Instagram,No
266,LD267,Mrs. Laurie Gonzalez DDS,Male,Mumbai,Jain University,1st,Machine Learning,LinkedIn,Yes
267,LD268,Jeffrey Jones,Female,Pune,Manipal University,1st,Data Science,LinkedIn,No
268,LD269,Michael Simpson,Male,Ahmedabad,Delhi Unversity,2nd,Data Science,Google Form,No
269,LD270,Samantha Long,Female,Pune,Amity University,2nd,Java,Instagram,No
270,LD271,Joy Forbes,Male,Pune,Manipal University,3rd,AI,Whatsapp,No
271,LD272,Gregory Woods,Male,Mumbai,Delhi Unversity,2nd,Data Science,Google Form,Yes
272,LD273,Ryan Rojas,Female,Delhi,Delhi Unversity,4th,Machine Learning,Whatsapp,Yes
273,LD274,Amy Young,Female,Hyderabad,Jawaharlal Nehru Unversity,4th,Autocad,Google Form,Yes
274,LD275,Kelly Stout,Male,Ahmedabad,IIT,3rd,Machine Learning,LinkedIn,No
275,LD276,Robert Jarvis,Male,Surat,Jawaharlal Nehru Unversity,2nd,Robotics,Instagram,Yes
276,LD277,Michelle Lane,Female,Hyderabad,Jain University,1st,Autocad,Mass-Mailing,Yes
277,LD278,Anthony Blackburn,Male,Bangalore,IIT,2nd,Robotics,Whatsapp,No
278,LD279,Anthony Fisher,Male,Mumbai,Delhi Unversity,4th,Electric vehicle,College Collaboration,Yes
279,LD280,Antonio Gutierrez,Male,Pune,Jain University,3rd,Robotics,Google Form,No
280,LD281,Joy Bauer,Male,Bangalore,Jawaharlal Nehru Unversity,4th,AI,LinkedIn,Yes
281,LD282,Connie Garrett,Male,Mumbai,Jawaharlal Nehru Unversity,4th,Electric vehicle,Whatsapp,No
